procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Elite Residences 6,330.0,ELITE 6 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,49.75,1.0,1.0,0.0,2015.0,6.0,22.0,15009.05,49.75
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,ELITE RESIDENCES 2,333.0,ELITE II SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Dubai Internet City,Marina Mall,Studio,1,46.01,1.0,1.0,0.0,2009.0,7.0,17.0,8359.38,46.01
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,RIVIERA LAKE VIEW,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,50.63,1.0,2.0,0.0,2008.0,10.0,27.0,4858.78,50.63
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,T-10,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,68.0,1.0,1.0,0.0,2010.0,1.0,25.0,5882.35,68.0
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Emirates Hills,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Unknown,0,1636.18,1.0,1.0,0.0,2015.0,6.0,22.0,7479.01,1636.18
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA ARCADE,948.0,MARINA ARCADE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,148.52,2.0,1.0,0.0,2015.0,6.0,22.0,15486.13,148.52
Sell,2,Building,60.0,Unknown,Residential,1,Existing Properties,297,Al Warqa First,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,1390.01,1.0,1.0,0.0,2011.0,5.0,30.0,2152.79,1390.01
Delayed Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,OCEAN HEIGHTS,431.0,OCEAN HEIGHTS,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,101.91,1.0,1.0,0.0,2013.0,7.0,24.0,17761.26,101.91
Sell - Pre registration,3,Unit,101.0,Hotel Apartment,Hospitality ,0,Off-Plan Properties,390,Burj Khalifa,UPPER CREST,300.0,UPPER CREST,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,105.46,1.0,1.0,0.0,2013.0,2.0,28.0,24800.87,105.46
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,414,Al Barshaa South Second,BELLA ROSE,2099.0,BELLA ROSE,Dubai Science Park,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,88.15,1.0,1.0,0.0,2019.0,12.0,18.0,9092.42,88.15
Lease to Own Registration,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Sadaf 6,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2 B/R,1,131.36,2.0,2.0,2.0,2009.0,1.0,27.0,11495.13,131.36
