procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,Floarea Grande,3494.0,Floarea  Grande,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1 B/R,1,75.93,1.0,1.0,0.0,2025.0,6.0,23.0,15145.53,75.93
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,DAMAC HEIGHTS,430.0,DAMAC HEIGHTS,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,132.37,1.0,1.0,0.0,2024.0,11.0,26.0,20443.98,132.37
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,232,Mirdif,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Unknown,0,924.57,1.0,2.0,0.0,2005.0,7.0,27.0,5840.55,924.57
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,390,Burj Khalifa,City Center Residences,2359.0,City Center Residences,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,106.68,1.0,2.0,0.0,2022.0,6.0,27.0,37245.4,106.68
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,369,Al Barsha Third,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,Dubai Internet City,Mall of the Emirates,Unknown,0,910.45,1.0,1.0,0.0,2014.0,10.0,23.0,5491.79,910.45
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Bahar 6,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,72.44,1.0,1.0,0.0,2009.0,3.0,25.0,8213.69,72.44
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1047.0,Emirates Living - Springs 10,Springs - 2,Sports City Swimming Academy,Damac Properties,Marina Mall,2 B/R,0,184.47,1.0,1.0,0.0,2025.0,1.0,31.0,14636.53,184.47
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,V19,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,82.0,1.0,1.0,0.0,2023.0,9.0,22.0,4146.34,82.0
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Rufi Twin Tower A,556.0,Mars Residences ,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,111.3,1.0,1.0,0.0,2023.0,8.0,17.0,7987.42,111.3
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Sportz By Danube - 2,2845.0,Sportz By Danube ,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,43.86,1.0,1.0,0.0,2015.0,6.0,22.0,17966.26,43.86
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,80.05,1.0,1.0,0.0,2012.0,9.0,24.0,8744.53,80.05
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,GOLDCREST VIEWS 2,150.0,GOLD CREST VIEWS2,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,82.67,1.0,2.0,0.0,2012.0,12.0,31.0,8709.33,82.67
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,390,Burj Khalifa,Forte T1,1660.0,FORTE,DownTown Dubai,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,104.97,1.0,1.0,0.0,2015.0,6.0,22.0,22500.6,104.97
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,432,Palm Deira,Azura Residences,3080.0,Azura Residences ,Palm Deira,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,1 B/R,1,82.51,1.0,1.0,0.0,2015.0,6.0,22.0,19941.08,82.51
Sell,2,Building,60.0,Unknown,Residential,1,Existing Properties,316,Al Mizhar First,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Etisalat Metro Station,City Centre Mirdif,Unknown,0,1975.86,1.0,1.0,0.0,2015.0,5.0,27.0,3795.82,1975.86
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,Royale Residence 2,479.0,ROYALE RESIDENCE2,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,40.55,1.0,1.0,0.0,2009.0,1.0,26.0,12161.31,40.55
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 1,1607.0,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,100.83,1.0,1.0,0.0,2015.0,6.0,22.0,6446.49,100.83
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,ROYAL AMWAJ RESIDENCES SOUTH,356.0,ROYAL AMWAJ,Palm Jumeirah,Burj Al Arab,Al Sufouh,Mall of the Emirates,1 B/R,1,144.46,1.0,1.0,0.0,2025.0,11.0,25.0,21140.8,144.46
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,369,Al Barsha Third,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,Dubai Internet City,Mall of the Emirates,Unknown,0,1393.55,11.0,1.0,0.0,2007.0,11.0,14.0,3229.16,1393.55
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,370,Um Suqaim Third,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,594.58,1.0,1.0,0.0,2015.0,6.0,22.0,5886.51,594.58
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,390,Burj Khalifa,Burj ViewsTower A,1451.0,BURJ VIEWS,DownTown Dubai,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,138.15,1.0,1.0,0.0,2011.0,3.0,15.0,7962.36,138.15
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,83.91,1.0,1.0,0.0,2012.0,5.0,28.0,10656.42,83.91
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,315,Al Manara,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,Noor Bank Metro Station,Mall of the Emirates,Unknown,0,1337.8,1.0,1.0,0.0,2015.0,6.0,22.0,2190.16,1337.8
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,HERA TOWER,336.0,Hera Tower,Dubai Sports City,Sports City Swimming Academy,Dubai Internet City,Marina Mall,2 B/R,1,109.6,1.0,1.0,0.0,2015.0,6.0,22.0,5474.45,109.6
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,409,Al Barshaa South Third,ELANO BY ORO24,2620.0,ELANO BY ORO24,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,34.27,2.0,1.0,0.0,2015.0,6.0,22.0,15218.85,34.27
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Al Majara 1,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,2 B/R,1,123.0,1.0,1.0,0.0,2008.0,10.0,23.0,12032.52,123.0
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,LOFTS T CENT,1046.0,Unknown,DownTown Dubai,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,80.87,2.0,1.0,0.0,2021.0,12.0,14.0,14529.49,80.87
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Sadaf 4,1046.0,Unknown,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,3 B/R,1,166.98,2.0,1.0,0.0,2025.0,8.0,18.0,17067.91,166.98
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Jumeirah Living Marina Gate,1743.0,JUMEIRAH LIVING MARINA GATE ,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,1 B/R,1,87.81,1.0,1.0,0.0,2015.0,6.0,22.0,29039.97,87.81
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,ALGHAF 1,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,2 B/R,1,120.32,2.0,1.0,0.0,2013.0,5.0,20.0,11635.64,120.32
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,BERMUDA VIEWS,616.0,BERMUDA VIEWS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,49.4,2.0,1.0,0.0,2015.0,11.0,16.0,9109.31,49.4
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,435,Al Hebiah Fourth,ELITE 10 SPORTS RESIDENCE - 2,1607.0,ELITE 10 SPORTS RESIDENCE,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,77.52,1.0,1.0,0.0,2017.0,9.0,19.0,8965.43,77.52
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA CROWN TOWER,1046.0,Unknown,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,135.35,1.0,1.0,0.0,2007.0,8.0,23.0,5795.81,135.35
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,GOLF TOWERS T3,1046.0,Unknown,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,1 B/R,1,89.37,1.0,1.0,0.0,2008.0,10.0,28.0,8804.83,89.37
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,350,Al Thanyah Fifth,Unknown,1046.0,Unknown,Jumeirah Islands,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Unknown,0,817.58,1.0,1.0,0.0,2007.0,4.0,24.0,2446.24,817.58
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,OLYMPIC PARK 1,1142.0,OLYMPIC PARK 1,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,149.93,1.0,1.0,0.0,2011.0,12.0,29.0,10327.34,149.93
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,RUBY,1040.0,TIARA RESIDENCE,Palm Jumeirah,Burj Al Arab,Knowledge Village,Marina Mall,3 B/R,1,210.52,1.0,1.0,0.0,2013.0,11.0,18.0,24938.25,210.52
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA DIAMOND 4,1046.0,Unknown,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,1 B/R,1,70.03,1.0,1.0,0.0,2015.0,6.0,22.0,7425.39,70.03
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,410,Palm Jumeirah,ROYAL AMWAJ RESIDENCES SOUTH,356.0,ROYAL AMWAJ,Palm Jumeirah,Burj Al Arab,Al Sufouh,Mall of the Emirates,1 B/R,1,107.41,1.0,1.0,0.0,2019.0,2.0,25.0,9687.51,107.41
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,ARMADA  3,1260.0,ARMADA TOWERS,Jumeirah Lakes Towers,Burj Al Arab,Marina Mall Metro Station,Marina Mall,1 B/R,1,83.33,2.0,1.0,0.0,2015.0,11.0,30.0,13080.52,83.33
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,351,Al Thanyah Third,ALJAZ 1,1046.0,Unknown,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,2 B/R,1,131.46,1.0,1.0,0.0,2009.0,10.0,27.0,4144.23,131.46
Sell - Pre registration,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,330,Marsa Dubai,DAMAC HEIGHTS,430.0,DAMAC HEIGHTS,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,2 B/R,1,124.82,1.0,1.0,0.0,2017.0,12.0,25.0,24226.89,124.82
Sell,1,Land,60.0,Unknown,Residential,1,Existing Properties,370,Um Suqaim Third,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,417.51,10.0,1.0,0.0,2017.0,3.0,20.0,6996.53,417.51
Development Registration,1,Land,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Emirates Hills,Sports City Swimming Academy,Damac Properties,Marina Mall,Unknown,0,2476.02,1.0,1.0,0.0,2001.0,8.0,27.0,1291.67,2189.4440000000054
Lease to Own Registration,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,Al Majara 1,1046.0,Unknown,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,86.31,2.0,2.0,2.0,2009.0,2.0,25.0,8063.96,86.31
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,315,Al Manara,Unknown,1046.0,Unknown,Unknown,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Unknown,0,1393.55,1.0,1.0,0.0,2004.0,12.0,20.0,3013.89,1393.55
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,233,Hor Al Anz,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Abu Hail Metro Station,City Centre Mirdif,Unknown,0,232.26,1.0,1.0,0.0,2012.0,4.0,16.0,5381.9,232.26
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1044.0,Emirates Living - Springs 7,Springs - 3,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,3 B/R,0,351.93,1.0,1.0,0.0,2015.0,6.0,22.0,1877.9,351.93
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA HEIGHTS 1,1046.0,Unknown,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,3 B/R,1,191.6,1.0,1.0,0.0,2013.0,3.0,28.0,10550.03,191.6
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,PRINCESS TOWER,221.0,PRINCESS TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,121.75,1.0,2.0,0.0,2015.0,6.0,22.0,11176.82,121.75
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,409,Al Barshaa South Third,2020 Marquis,2129.0,2020 Marquis,Arjan,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,117.6,1.0,1.0,0.0,2021.0,4.0,26.0,8078.23,117.6
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,ALMASS,1046.0,Unknown,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,1 B/R,1,156.08,1.0,1.0,0.0,2015.0,6.0,22.0,6765.76,156.08
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,AL SEEF 1,42.0,ALSEEF I,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,2 B/R,1,192.05,1.0,2.0,0.0,2015.0,6.0,22.0,17130.96,192.05
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,414,Al Barshaa South Second,BELLA ROSE,2099.0,BELLA ROSE,Dubai Science Park,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Studio,1,38.73,1.0,1.0,0.0,2015.0,6.0,22.0,12651.69,38.73
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1032.0,Emirates Living - Springs 2,Springs - 7,Sports City Swimming Academy,Damac Properties,Marina Mall,3 B/R,0,336.0,2.0,1.0,0.0,2020.0,9.0,17.0,5505.95,336.0
Sell,3,Unit,23.0,Shop,Commercial,1,Existing Properties,330,Marsa Dubai,Jumeirah Living Marina Gate,1743.0,JUMEIRAH LIVING MARINA GATE ,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,Shop,1,265.9,1.0,1.0,0.0,2015.0,6.0,22.0,21854.7,265.9
Sell,4,Villa,60.0,Unknown,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1046.0,Unknown,Meadows 2,Sports City Swimming Academy,Marina Mall Metro Station,Marina Mall,Unknown,0,750.84,1.0,2.0,0.0,2015.0,6.0,22.0,13984.34,750.84
