procedure_name_en,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,instance_year,instance_month,instance_day,meter_sale_price,procedure_area_clipped
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,Trafalgar Executive,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,92.5,1.0,1.0,0.0,2013.0,10.0,23.0,8972.97,92.5
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,330,Marsa Dubai,MARINA TERRACE,1046.0,Unknown,Dubai Marina,Burj Al Arab,Dubai Marina,Marina Mall,1 B/R,1,100.24,1.0,1.0,0.0,2008.0,8.0,21.0,6384.68,100.24
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,The Matrix,99.0,THE MATRIX,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,55.69,1.0,1.0,0.0,2015.0,6.0,22.0,13728.25,55.69
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,343,Al Warsan First,H-03,1046.0,Unknown,International City Phase 1,Unknown,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,67.23,1.0,1.0,0.0,2015.0,6.0,22.0,11453.22,67.23
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,LAKE TERRACE,438.0,LAKE TERRACE,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Studio,1,49.17,1.0,1.0,0.0,2015.0,6.0,22.0,8643.48,49.17
Sell,4,Villa,4.0,Villa,Residential,1,Existing Properties,352,Al Thanayah Fourth,Unknown,1033.0,Emirates Living - Springs 3,Springs - 6,Sports City Swimming Academy,Damac Properties,Marina Mall,2 B/R,0,172.89,1.0,1.0,0.0,2015.0,6.0,22.0,2758.33,172.89
Sell,2,Building,60.0,Unknown,Residential / Commercial,1,Existing Properties,367,Al Suq Al Kabeer,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Al Fahidi Metro Station,Dubai Mall,Unknown,0,87.37,1.0,1.0,0.0,2007.0,11.0,19.0,9156.46,87.37
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,435,Al Hebiah Fourth,BERMUDA VIEWS,616.0,BERMUDA VIEWS,Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1 B/R,1,84.57,1.0,1.0,0.0,2023.0,3.0,22.0,6503.49,84.57
Sell,2,Building,60.0,Unknown,Commercial,1,Existing Properties,244,Al Murqabat,Unknown,1046.0,Unknown,Unknown,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,Unknown,0,1404.69,11.0,1.0,0.0,2004.0,2.0,16.0,8542.81,1404.69
Sell,3,Unit,60.0,Flat,Residential,1,Existing Properties,350,Al Thanyah Fifth,CONCORDE TOWER 1,883.0,CONCORDE TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,88.89,1.0,1.0,0.0,2015.0,6.0,22.0,7312.41,88.89
